GHI,GTI,TEMP,WS,WD,RH,PREC,AP,PWAT,SWE,PVOUT
348,366,24.1,3.3,350,77.8,0,988.5,44.3,581.11,15097.284
398,421,24.4,3.4,353,76.8,0,988.4,44.2,581.11,17477.885
444,470,24.6,3.5,356,75.9,0,988.6,44.2,581.11,19534.363
495,525,24.9,3.6,359,75,0,989.1,44.1,581.11,21782.039
551,584,25.2,3.7,2,74,0,992,44,581.11,24213.732
596,636,25.5,3.8,4,73,0,995,43.9,581.11,26239.914
629,672,25.7,3.9,6,72.1,0,997.8,43.8,581.11,27598.408
654,697,26,4,9,71.2,0,1000.2,43.7,581.11,28572.643
669,714,26.1,4.1,11,70.9,0,997.6,43.8,581.11,29185.424
685,730,26.2,4.1,13,70.6,0,994.7,43.9,581.11,29803.998
701,747,26.3,4.1,15,70.3,0,991.6,44,581.11,30427.721
718,766,26.3,4.1,16,70.1,0,988.6,44.1,581.11,31112.641
737,787,26.4,4.1,18,69.8,0,987.9,44.1,581.11,31856.637
753,804,26.5,4.1,20,69.6,0,987.6,44.2,581.11,32507.533
767,820,26.6,4.2,22,69.3,0,987.5,44.3,581.11,33066.738
785,841,26.7,4.2,24,69,0,987.6,44.4,581.11,33859.535
809,871,26.9,4.3,26,68.7,0,990.2,44.5,581.11,34965.832
814,878,27,4.3,28,68.4,0,992.8,44.6,581.11,35218.016
800,864,27.1,4.3,29,68.2,0,995.3,44.7,581.11,34713.074
769,831,27.1,4.4,31,67.9,0,997.4,44.7,581.11,33510.738
721,777,27,4.4,31,68.7,0,994.9,44.6,581.11,31510.533
678,731,26.9,4.3,32,69.6,0,992.1,44.4,581.11,29776.234
639,690,26.7,4.3,32,70.4,0,989.2,44.2,581.11,28224.564
597,644,26.5,4.3,32,71.3,0,986.3,44.1,581.11,26467.061
550,595,26.4,4.2,33,72.1,0,985.8,43.9,581.11,24494.887
506,544,26.2,4.2,33,72.9,0,985.6,43.7,581.11,22482.123
465,501,26.1,4.2,33,73.8,0,985.6,43.6,581.11,20710.051
422,456,25.9,4.1,34,74.6,0,985.9,43.4,581.11,18819.23
377,409,25.8,4.1,34,75.4,0,988.6,43.2,581.11,16806.859
346,378,25.7,4.1,34,76.2,0,991.3,43.1,581.11,15417.019
328,366,25.5,4,35,77.1,0,993.9,42.9,581.11,14730.845
320,361,25.3,4,35,77.9,0,996.2,42.7,581.11,14291.153
323,369,25.1,3.9,34,78.9,0,993.9,42.6,581.11,14432.41
289,340,24.9,3.8,33,79.9,0,991.3,42.4,581.11,13067.823
216,273,24.6,3.7,32,80.8,0,988.5,42.2,581.11,10314.524
135,192,24.4,3.6,31,81.8,0,985.8,42.1,581.11,6040.936
26,25,24.2,3.5,30,82.8,0,985.5,41.9,581.11,848.523
9,9,21.6,2.2,352,76.2,0,986.8,40.9,581.11,69.557
21,21,21.6,2.2,354,76.9,0,989.8,41.2,581.11,537.097
54,60,21.6,2.2,355,77.5,0,992.9,41.5,581.11,1451.074
84,89,21.6,2.2,356,78.1,0,995.8,41.7,581.11,2992.506
120,126,21.6,2.2,357,78.6,0,998.4,41.9,581.11,4607.527
163,170,21.9,2.3,0,78,0,996,41.8,581.11,6542.666
205,213,22.2,2.4,4,77.4,0,993.4,41.6,581.11,8486.011
247,258,22.6,2.5,7,76.8,0,990.5,41.3,581.11,10483.461
295,308,22.9,2.6,9,76.2,0,987.8,41.1,581.11,12679.483
348,365,23.2,2.7,12,75.6,0,987.5,40.9,581.11,15138.609
398,421,23.5,2.8,15,75,0,987.4,40.7,581.11,17531.369
445,471,23.9,2.9,17,74.4,0,987.6,40.5,581.11,19608.449
497,526,24.2,3,19,73.8,0,988.1,40.3,581.11,21894.422
554,587,24.5,3.1,21,73.2,0,991,40.1,581.11,24379.334
599,640,24.8,3.2,23,72.6,0,994,39.9,581.11,26440.607
633,676,25.2,3.4,24,72,0,996.8,39.7,581.11,27828.926
657,701,25.4,3.5,26,71.4,0,999.2,39.5,581.11,28761.951
671,715,25.6,3.6,27,71.2,0,996.6,39.6,581.11,29265.822
685,730,25.7,3.6,28,71,0,993.7,39.8,581.11,29823.328
701,747,25.7,3.7,29,70.8,0,990.5,40,581.11,30434.414
718,765,25.8,3.8,30,70.6,0,987.5,40.2,581.11,31131.539
737,786,25.9,3.8,31,70.4,0,986.8,40.4,581.11,31911.756
753,804,26,3.9,32,70.3,0,986.5,40.6,581.11,32561.934
765,818,26.1,4,33,70.1,0,986.4,40.7,581.11,33084.09
782,837,26.2,4.1,33,69.9,0,986.5,40.9,581.11,33798.109
802,861,26.3,4.1,34,69.7,0,989,41,581.11,34697.078
806,869,26.4,4.2,35,69.5,0,991.6,41.2,581.11,34982.445
792,855,26.5,4.3,36,69.3,0,994.1,41.4,581.11,34482.262
763,824,26.5,4.4,36,69.1,0,996.2,41.5,581.11,33320.359
718,772,26.4,4.4,37,70,0,993.8,41.7,581.11,31400.693
676,728,26.2,4.5,37,70.8,0,991,41.8,581.11,29735.65
638,688,26.1,4.5,37,71.7,0,988,41.9,581.11,28241.279
596,644,25.9,4.5,37,72.6,0,985.2,42,581.11,26511.803
550,594,25.7,4.6,37,73.4,0,984.7,42.1,581.11,24537.506
507,544,25.5,4.6,37,74.3,0,984.5,42.2,581.11,22547.572
466,503,25.4,4.7,38,75.2,0,984.5,42.4,581.11,20822.465
425,459,25.2,4.7,38,76,0,984.8,42.5,581.11,19004.289
382,415,25,4.8,38,76.9,0,987.5,42.6,581.11,17091.951
351,385,24.9,4.8,38,77.7,0,990.3,42.7,581.11,15726.687
332,371,24.7,4.9,38,78.6,0,992.9,42.9,581.11,14989.368
323,364,24.5,4.9,38,79.4,0,995.2,43,581.11,14457.257
323,369,24.3,4.7,36,80,0,993,43,581.11,14444.876
287,337,24.2,4.4,34,80.6,0,990.4,43,581.11,12975.021
215,265,24,4.2,31,81.2,0,987.8,42.9,581.11,9886.083
135,188,23.8,4,28,81.7,0,985.1,42.9,581.11,5670.352
26,26,23.7,3.8,25,82.3,0,984.9,42.8,581.11,866.157
9,9,23.4,4,13,82.4,0.1,989.3,36.9,581.11,67.018
21,21,23.4,4,13,82.4,0.1,989.3,36.9,581.11,523.274
45,50,23.4,4,13,82.4,0.1,989.3,36.9,581.11,1106.574
59,61,23.4,4,13,82.4,0.1,989.3,36.9,581.11,1851.164
87,89,23.4,4,13,82.4,0.1,989.3,36.9,581.11,3052.346
130,134,23.4,4,13,82.4,0.1,989.3,36.9,581.11,4991.225
172,178,23.4,4,13,82.4,0.1,989.3,36.9,581.11,6917.043
213,220,23.4,4,13,82.4,0.1,989.3,36.9,581.11,8794.416
258,268,23.4,4,13,82.4,0.1,989.3,36.9,581.11,10934.963
307,320,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13204.732
352,368,23.4,4,13,82.4,0.1,989.3,36.9,581.11,15302.345
395,413,23.4,4,13,82.4,0.1,989.3,36.9,581.11,17216.176
442,466,23.4,4,13,82.4,0.1,989.3,36.9,581.11,19471.521
493,521,23.4,4,13,82.4,0.1,989.3,36.9,581.11,21784.582
534,564,23.4,4,13,82.4,0.1,989.3,36.9,581.11,23554.613
563,595,23.4,4,13,82.4,0.1,989.3,36.9,581.11,24796.254
581,614,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25568.469
589,622,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25879.074
598,631,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26251.361
609,643,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26685.949
620,654,23.4,4,13,82.4,0.1,989.3,36.9,581.11,27145.418
631,667,23.4,4,13,82.4,0.1,989.3,36.9,581.11,27629.994
641,677,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28057.064
649,687,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28427.383
660,699,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28949.49
674,721,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29809.471
676,723,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29921.838
664,711,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29472.439
640,686,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28489.834
605,648,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26959.371
572,608,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25390.48
542,577,23.4,4,13,82.4,0.1,989.3,36.9,581.11,24129.521
509,543,23.4,4,13,82.4,0.1,989.3,36.9,581.11,22733.537
475,506,23.4,4,13,82.4,0.1,989.3,36.9,581.11,21200.574
442,472,23.4,4,13,82.4,0.1,989.3,36.9,581.11,19733.137
410,439,23.4,4,13,82.4,0.1,989.3,36.9,581.11,18331.039
378,406,23.4,4,13,82.4,0.1,989.3,36.9,581.11,16915.814
347,374,23.4,4,13,82.4,0.1,989.3,36.9,581.11,15484.343
323,352,23.4,4,13,82.4,0.1,989.3,36.9,581.11,14462.878
308,341,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13824.756
302,338,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13493.982
304,346,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13596.94
271,317,23.4,4,13,82.4,0.1,989.3,36.9,581.11,12186.396
203,247,23.4,4,13,82.4,0.1,989.3,36.9,581.11,9193.243
127,172,23.4,4,13,82.4,0.1,989.3,36.9,581.11,5169.314
27,26,23.4,4,13,82.4,0.1,989.3,36.9,581.11,834.303
