GHI,GTI,TEMP,WS,WD,RH,PREC,AP,PWAT,SWE,PVOUT
35,41,23.9,4.5,21,84.3,0,999.5,25.8,581.11,862.018
11,11,23.5,4.3,20,85.1,0,999.7,26.2,581.11,127.726
10,10,21.8,4.1,4,88.9,0,1001.6,34,581.11,92.851
32,39,22,4.1,2,88.6,0,1001.8,34,581.11,654.137
58,67,22.1,4.1,360,88.2,0,1002,33.9,581.11,1486.218
88,97,22.3,4.1,358,87.8,0.3,1002.2,33.9,581.11,3167.754
121,130,22.5,4.1,356,87.4,0.3,1002.4,34,581.11,4645.679
157,166,22.9,4.4,1,86.2,0.3,1002.6,34.4,581.11,6312.732
192,200,23.2,4.8,5,85,0.3,1002.9,34.9,581.11,7896.089
224,232,23.5,5.3,9,83.8,0.4,1003.1,35.3,581.11,9327.02
257,265,23.8,5.7,12,82.6,0.4,1003.3,35.7,581.11,10788.56
289,298,24,5.7,12,82.1,0.4,1003.6,35.8,581.11,12230.342
323,333,24.2,5.8,11,81.6,0.4,1003.8,35.8,581.11,13743.275
359,373,24.3,5.8,10,81.1,0.3,1004.1,35.8,581.11,15436.425
394,409,24.5,5.8,10,80.5,0.3,1004.3,36,581.11,16984.289
428,445,24.6,6,12,79.9,0.3,1004.3,36.4,581.11,18479.795
464,483,24.8,6.2,15,79.2,0.3,1004.3,36.9,581.11,20015.154
500,521,25,6.4,17,78.6,0.4,1004.3,37.4,581.11,21592.324
548,572,25.1,6.6,19,78.1,0.4,1004.3,37.7,581.11,23624.375
606,634,24.9,6.6,19,79,0.4,1004.1,37.3,581.11,26110.449
649,685,24.6,6.5,19,79.9,0.4,1003.9,36.8,581.11,28112.291
676,714,24.4,6.4,19,80.8,0.3,1003.7,36.2,581.11,29263.082
699,740,24.2,6.3,19,81.8,0.3,1003.6,35.7,581.11,30295.887
720,763,24.2,6.3,19,81.6,0.3,1003.5,35.6,581.11,31187.533
728,772,24.3,6.2,18,81.3,0.3,1003.4,35.6,581.11,31522.457
723,767,24.4,6.2,18,81.1,0.3,1003.4,35.7,581.11,31306.717
715,758,24.5,6.1,17,80.8,0.3,1003.3,35.8,581.11,30940.256
703,745,24.8,6.3,19,80,0.3,1003.1,35.9,581.11,30415.266
687,728,25.1,6.5,20,79.1,0.3,1002.8,35.9,581.11,29738.561
667,707,25.3,6.7,22,78.3,0.3,1002.5,36,581.11,28910.279
